Wavelength (nm),Abs
695.6400146,0.09491042793
695.6199951,0.09752717614
695.5999756,0.09498976916
695.5800171,0.09549673647
695.5599976,0.09628757089
695.539978,0.09501373768
695.5200195,0.09426450729
695.5,0.09519512206
695.4799805,0.09633607417
695.460022,0.09849319607
695.4400024,0.09639763832
695.4199829,0.09640539438
695.4000244,0.09642565995
695.3800049,0.09435173869
695.3599854,0.09575289488
695.3400269,0.09310428053
695.3200073,0.09498328716
695.2999878,0.09684532881
695.2800293,0.09473527968
695.2600098,0.09633290768
695.2399902,0.09483306855
695.2199707,0.09506096691
695.2000122,0.09432632476
695.1799927,0.09750601649
695.1599731,0.09704185277
695.1400146,0.09616176784
695.1199951,0.09531464428
695.0999756,0.09532611817
695.0800171,0.0969716832
695.0599976,0.094484061
695.039978,0.09891656041
